anomaly_class,rentengine_unit_id,rentengine_address,local_unit_id,local_unit_address,suggested_local_unit_id,suggested_local_unit_address,notes
unlinked_on_our_side,23529,"12 Wood Rd, Arden, NC, 28704",,,,,No candidate match found
unlinked_on_our_side,23530,"130 Reems Creek Rd #2 Unit 2, Weaverville, NC, 28787",,,,,No candidate match found
unlinked_on_our_side,23531,"172 Roanoke Rd, Fletcher, NC, 28732",,,,,No candidate match found
unlinked_on_our_side,23532,"68 Greeley St, Asheville, NC, 28806",,,,,No candidate match found
unlinked_on_our_side,23533,"35 Mulberry St, Asheville, NC, 28804",,,,,No candidate match found
unlinked_on_our_side,23534,"3 Penley Ave #B Unit B, Asheville, NC, 28804",,,,,No candidate match found
unlinked_on_our_side,23535,"26 Reid St #8 Unit 8, Marion, NC, 28752",,,,,No candidate match found
unlinked_on_our_side,23536,"43 Beekeeper Trl, Swannanoa, NC, 28778",,,,,No candidate match found
unlinked_on_our_side,23537,"49 Hazzard St, Asheville, NC, 28801",,,,,No candidate match found
unlinked_on_our_side,23538,"125 Waynesville Ave, Asheville, NC, 28806",,,,,No candidate match found
unlinked_on_our_side,23539,"4 Meadows Town Rd, Marshall, NC, 28753",,,,,No candidate match found
unlinked_on_our_side,23540,"435 Reems Creek Rd, Weaverville, NC, 28787",,,,,No candidate match found
unlinked_on_our_side,23541,"70 Erwin Hill Dr, Hendersonville, NC, 28739",,,,,No candidate match found
unlinked_on_our_side,23542,"588 Ray Hill Rd, Mills River, NC, 28759",,,,,No candidate match found
unlinked_on_our_side,23543,"70 Smith Graveyard Rd, Asheville, NC, 28806",,,,,No candidate match found
unlinked_on_our_side,23544,"703 Macedonia Rd, Asheville, NC, 28804",,,,,No candidate match found
unlinked_on_our_side,23545,"882 Wash Freeman Rd, Hendersonville, NC, 28792",,,,,No candidate match found
unlinked_on_our_side,23610,"22 Greenly Ln, Fletcher, NC, 28732",,,,,No candidate match found
unlinked_on_our_side,23832,"344 Piedmont Rd, Rutherfordton, NC, 28139",,,,,No candidate match found
unlinked_on_our_side,23964,"26 Reid St #6 Unit 6, Marion, NC, 28752",,,,,No candidate match found
unlinked_on_our_side,24254,"28 Bass Ln #1 Unit 1, Hendersonville, NC, 28791",,,,,No candidate match found
unlinked_on_our_side,24257,"34 Fulton St, Asheville, NC, 28801",,,,,No candidate match found
unlinked_on_our_side,24260,"42 Green Hill Ave, Asheville, NC, 28806",,,,,No candidate match found
unlinked_on_our_side,24333,"84 Cardwell Ln, Fletcher, NC, 28732",,,,,No candidate match found
unlinked_on_our_side,24409,"707 Macedonia Rd, Asheville, NC, 28804",,,,,No candidate match found
unlinked_on_our_side,24752,"4 Rosemary Rd, Asheville, NC, 28806",,,,,No candidate match found
unlinked_on_our_side,25019,"11 Apple Meadow Ln, Alexander, NC, 28701",,,,,No candidate match found
unlinked_on_our_side,25220,"30 Benedict Ln, Weaverville, NC, 28787",,,,,No candidate match found
unlinked_on_our_side,25223,"60 Greeley St, Asheville, NC, 28806",,,,,No candidate match found
unlinked_on_our_side,25225,"26 Reid St #5 Unit 5, Marion, NC, 28752",,,,,No candidate match found
unlinked_on_our_side,25230,"2506 Turnpike Rd, Horse Shoe, NC, 28742",,,,,No candidate match found
unlinked_on_our_side,25231,"430 Hague Dr, Columbus, NC, 28722",,,,,No candidate match found
unlinked_on_our_side,25257,"16 Meadows Town Rd, Marshall, NC, 28753",,,,,No candidate match found
unlinked_on_our_side,25258,"192 Appalachian Way, Asheville, NC, 28806",,,,,No candidate match found
unlinked_on_our_side,25264,"241 N Main St, Canton, NC, 28716",,,,,No candidate match found
unlinked_on_our_side,27288,"194 Craven Rd, Waynesville, NC, 28786",,,,,No candidate match found
unlinked_on_our_side,27311,"34 Huffman Rd, Asheville, NC, 28806",,,,,No candidate match found
unlinked_on_our_side,27740,"23 Norman Rd, Fletcher, NC, 28732",,,,,No candidate match found
unlinked_on_our_side,28077,"9 Silent Pl, Asheville, NC, 28806",,,,,No candidate match found
unlinked_on_our_side,28559,"130 Reems Creek Rd #3 Unit 3, Weaverville, NC, 28787",,,,,No candidate match found
unlinked_on_our_side,29154,"474 Hague Dr, Columbus, NC, 28722",,,,,No candidate match found
unlinked_on_our_side,29200,"114 Richmond Ave, Asheville, NC, 28806",,,,,No candidate match found
unlinked_on_our_side,29201,"44 Rosemary Rd, Asheville, NC, 28806",,,,,No candidate match found
unlinked_on_our_side,29253,"86 Scott Meadows Dr, Asheville, NC, 28806",,,,,No candidate match found
unlinked_on_our_side,30340,"68 Maple St, Canton, NC, 28716",,,,,No candidate match found
unlinked_on_our_side,30590,"4 Katra Ln, Asheville, NC, 28805",,,,,No candidate match found
unlinked_on_our_side,30591,"220 Meredith Loop, Swannanoa, NC, 28778",,,,,No candidate match found
unlinked_on_our_side,31285,"90 Knob Hill Rd, Asheville, NC, 28806",,,,,No candidate match found
unlinked_on_our_side,32273,"4 Riddle Rd, Swannanoa, NC, 28778",,,,,No candidate match found
unlinked_on_our_side,32550,"58 Long Winding Rd, Asheville, NC, 28805",,,,,No candidate match found
unlinked_on_our_side,32560,"18 Canterbury Rd, Asheville, NC, 28805",,,,,No candidate match found
unlinked_on_our_side,32588,"4 Lola Lilly Pl, Asheville, NC, 28803",,,,,No candidate match found
unlinked_on_our_side,33590,"376 Hague Dr, Columbus, NC, 28722",,,,,No candidate match found
unlinked_on_our_side,34565,"240 Hillside St, Canton, NC, 28716",,,,,No candidate match found
unlinked_on_our_side,34711,"240 Ridgeview Ln, Mars Hill, NC, 28754",,,,,No candidate match found
unlinked_on_our_side,35294,"61 Scates St, Waynesville, NC, 28786",,,,,No candidate match found
unlinked_on_our_side,35296,"25 Amys Way, Black Mountain, NC, 28711",,,,,No candidate match found
unlinked_on_our_side,35584,"16 Hyde Park Pl, Arden, NC, 28704",,,,,No candidate match found
unlinked_on_our_side,35600,"26 Reid St, Marion, NC, 28752",,,,,No candidate match found
unlinked_on_our_side,35645,"510 Deaverview Rd, Asheville, NC, 28806",,,,,No candidate match found
unlinked_on_our_side,35821,"326 New Salem Rd, Swannanoa, NC, 28778",,,,,No candidate match found
unlinked_on_our_side,37191,"588 Ray Hill Rd #D Unit D, Mills River, NC, 28759",,,,,No candidate match found
unlinked_on_our_side,39211,"59 Scates St, Waynesville, NC, 28786",,,,,No candidate match found
unlinked_on_our_side,39324,"20 Angler Trl, Asheville, NC, 28803",,,,,No candidate match found
unlinked_on_our_side,39485,"78 Old Oak Hill Rd, Candler, NC, 28715",,,,,No candidate match found
unlinked_on_our_side,39486,"2383 Dutch Cove Rd #1 Unit 1, Canton, NC, 28716",,,,,No candidate match found
unlinked_on_our_side,39487,"2383 Dutch Cove Rd #2 Unit 2, Canton, NC, 28716",,,,,No candidate match found
unlinked_on_our_side,39488,"2383 Dutch Cove Rd #3 Unit 3, Canton, NC, 28716",,,,,No candidate match found
unlinked_on_our_side,41328,"303 Tarheel Dr, Waynesville, NC, 28786",,,,,No candidate match found
